date,price,volume
2025-01-01 00:00:00,93507.85874741491,45327464907.74362
2025-01-02 00:00:00,94384.1761153871,23275007789.496334
2025-01-03 00:00:00,96852.14681235075,45157338602.617516
2025-01-04 00:00:00,98084.34279280754,35721645948.10051
2025-01-05 00:00:00,98256.73876849933,20979035420.980793
2025-01-06 00:00:00,98364.58946599838,20060293834.7155
2025-01-07 00:00:00,102229.39453189743,46111387334.46171
2025-01-08 00:00:00,96952.09886774956,60610257147.15405
2025-01-09 00:00:00,95016.71440989176,65790469838.34392
2025-01-10 00:00:00,92376.27578346101,65850881574.76184
2025-01-11 00:00:00,94736.6267420969,63433655716.757095
2025-01-12 00:00:00,94559.55167224213,17836423168.41627
2025-01-13 00:00:00,94454.77089638807,19608932595.53299
2025-01-14 00:00:00,94456.3493746993,76328330233.31137
2025-01-15 00:00:00,96574.07768799194,51241728228.81719
2025-01-16 00:00:00,100313.15239828422,57637319739.543396
2025-01-17 00:00:00,100044.57926776377,50150102497.2729
2025-01-18 00:00:00,104160.69358484233,69135117732.00064
2025-01-19 00:00:00,104334.61575724394,49416447749.13053
2025-01-20 00:00:00,101275.33714814208,72970313683.92325
2025-01-21 00:00:00,101764.90860170545,120158523166.88387
2025-01-22 00:00:00,106182.2368201815,95344290057.8965
2025-01-23 00:00:00,103673.53509537787,55030669602.56557
2025-01-24 00:00:00,104067.60991206947,102455227371.20761
2025-01-25 00:00:00,104835.19253555956,51418786362.7815
2025-01-26 00:00:00,104796.04077738234,22740744964.719296
2025-01-27 00:00:00,102552.24874280207,20639818380.26942
2025-01-28 00:00:00,101958.46953745594,93191643783.24739
2025-01-29 00:00:00,101313.11264498268,45780526813.56264
2025-01-30 00:00:00,103718.97939813645,47425401641.53094
2025-01-31 00:00:00,104781.5135100103,42122570869.034325
2025-02-01 00:00:00,102382.39409722165,37187819228.35328
2025-02-02 00:00:00,100674.78762544956,22827776122.48367
2025-02-03 00:00:00,97568.31653024875,59784234332.21204
2025-02-04 00:00:00,101466.8606657039,122163969235.23686
2025-02-05 00:00:00,98118.43921664466,73196693057.98114
2025-02-06 00:00:00,96582.88682919052,48848958931.79228
2025-02-07 00:00:00,96635.41875332211,44462180396.172516
2025-02-08 00:00:00,96558.4563096667,57077722340.22422
2025-02-09 00:00:00,96558.23762501091,20760850644.84597
2025-02-10 00:00:00,96548.57865379585,25457107581.051964
2025-02-11 00:00:00,97399.98161383197,37054987393.57789
2025-02-12 00:00:00,95739.97737079239,36454577154.5622
2025-02-13 00:00:00,97836.18856127483,47115618235.19051
2025-02-14 00:00:00,96561.6639990985,29084371910.690556
2025-02-15 00:00:00,97488.48148536457,32289906944.92862
2025-02-16 00:00:00,97569.95169430465,14215311318.346336
2025-02-17 00:00:00,96149.3484548204,13634794998.739267
2025-02-18 00:00:00,95776.15723852723,25324374113.08163
2025-02-19 00:00:00,95495.89153299287,38311133144.729355
2025-02-20 00:00:00,96554.87156259285,27703222487.389572
2025-02-21 00:00:00,98384.31738240314,24175261969.81266
2025-02-22 00:00:00,96135.15541305285,42477472950.92155
2025-02-23 00:00:00,96564.15414290235,18464415570.762142
2025-02-24 00:00:00,96327.46309127835,16643044374.983364
2025-02-25 00:00:00,91396.76686930266,45539703844.38777
2025-02-26 00:00:00,88755.7693356979,96742453402.56294
2025-02-27 00:00:00,83900.11496524839,69277430795.68657
2025-02-28 00:00:00,84709.14477847965,81960688217.70384
2025-03-01 00:00:00,84441.9012237131,80695237175.07367
2025-03-02 00:00:00,86005.25629681018,30634474722.6359
2025-03-03 00:00:00,94261.53286538439,61859112550.80991
2025-03-04 00:00:00,86124.71418722175,68715362745.4567
2025-03-05 00:00:00,87310.80531078295,65863356680.42408
2025-03-06 00:00:00,90604.08098523637,51606642859.81411
2025-03-07 00:00:00,90001.40087607042,47555759124.64708
2025-03-08 00:00:00,86773.33597555371,63216440874.73251
2025-03-09 00:00:00,86142.9833586432,18809360803.37126
2025-03-10 00:00:00,80751.13893300897,32013406240.51754
2025-03-11 00:00:00,78783.94057934263,49983692766.22745
2025-03-12 00:00:00,82799.1080292053,56404462275.083046
2025-03-13 00:00:00,83884.24578828987,41782186208.59073
2025-03-14 00:00:00,81098.90052436228,32583592654.882656
2025-03-15 00:00:00,83971.70916064628,28571483950.074646
2025-03-16 00:00:00,84391.69087647168,10761796127.312485
2025-03-17 00:00:00,82610.61750343916,21638031633.118767
2025-03-18 00:00:00,84075.36559694471,19659366246.596867
2025-03-19 00:00:00,82780.03048688271,24557570268.85276
2025-03-20 00:00:00,86815.44109470697,33871216993.304657
2025-03-21 00:00:00,84270.84358966233,27579127651.06656
2025-03-22 00:00:00,84009.532917822,18091004975.919056
2025-03-23 00:00:00,83793.30854192551,7771134681.982918
2025-03-24 00:00:00,85787.70914901773,12617587530.619724
2025-03-25 00:00:00,87327.72969669085,27270889835.1835
2025-03-26 00:00:00,87520.58391530563,30351832942.705593
2025-03-27 00:00:00,86960.8555491039,25522877558.700558
2025-03-28 00:00:00,87227.27158032371,24620445368.489468
2025-03-29 00:00:00,84359.46915506005,31674486232.097313
2025-03-30 00:00:00,82679.17255385047,16837439419.924389
2025-03-31 00:00:00,82356.38111183756,13428975108.070734
2025-04-01 00:00:00,82514.09365397849,30326148749.91535
2025-04-02 00:00:00,85237.5876052852,29172899851.734768
2025-04-03 00:00:00,82526.4221526433,46332905657.77597
2025-04-04 00:00:00,83163.98757387721,36594464539.14662
2025-04-05 00:00:00,83852.00765399594,35647289400.47406
2025-04-06 00:00:00,83595.88550177493,14910400035.531416
